Benchmark,dotnet_core,mono_interpreter,mono_jit
System.Globalization.Tests.StringSearch.IndexOf_Word_NotFound(Options: (; None; False)),1.00,58.14,6.00,
System.Globalization.Tests.StringSearch.LastIndexOf_Word_NotFound(Options: (; None; False)),1.00,65.12,6.06,
System.Globalization.Tests.StringSearch.IsPrefix_FirstHalf(Options: (; None; True)),1.00,1.26,1.07,
System.Globalization.Tests.StringSearch.IsPrefix_DifferentFirstChar(Options: (; None; True)),1.00,1.87,1.19,
System.Globalization.Tests.StringSearch.IsSuffix_SecondHalf(Options: (; None; True)),1.00,1.13,1.04,
System.Globalization.Tests.StringSearch.IsSuffix_DifferentLastChar(Options: (; None; True)),1.00,1.56,1.12,
System.Globalization.Tests.StringSearch.IndexOf_Word_NotFound(Options: (; None; True)),1.00,1.33,1.03,
System.Globalization.Tests.StringSearch.LastIndexOf_Word_NotFound(Options: (; None; True)),1.00,2.49,1.14,
System.Globalization.Tests.StringSearch.IsPrefix_FirstHalf(Options: (en-US; IgnoreCase; False)),1.00,126.35,13.00,
System.Globalization.Tests.StringSearch.IsPrefix_DifferentFirstChar(Options: (en-US; IgnoreCase; Fal...,1.00,38.10,3.26,
System.Globalization.Tests.StringSearch.IsSuffix_SecondHalf(Options: (en-US; IgnoreCase; False)),1.00,108.11,11.03,
System.Globalization.Tests.StringSearch.IsSuffix_DifferentLastChar(Options: (en-US; IgnoreCase; Fals...,1.00,35.47,2.91,
System.Globalization.Tests.StringSearch.IndexOf_Word_NotFound(Options: (en-US; IgnoreCase; False)),1.00,54.86,5.13,
System.Globalization.Tests.StringSearch.LastIndexOf_Word_NotFound(Options: (en-US; IgnoreCase; False...,1.00,55.56,5.18,
System.Globalization.Tests.StringSearch.IsPrefix_FirstHalf(Options: (en-US; IgnoreCase; True)),1.00,1.24,1.05,
System.Globalization.Tests.StringSearch.IsPrefix_DifferentFirstChar(Options: (en-US; IgnoreCase; Tru...,1.00,1.85,1.14,
System.Globalization.Tests.StringSearch.IsSuffix_SecondHalf(Options: (en-US; IgnoreCase; True)),1.00,1.15,1.05,
System.Globalization.Tests.StringSearch.IsSuffix_DifferentLastChar(Options: (en-US; IgnoreCase; True...,1.00,1.59,1.16,
System.Globalization.Tests.StringSearch.IndexOf_Word_NotFound(Options: (en-US; IgnoreCase; True)),1.00,1.31,1.02,
System.Globalization.Tests.StringSearch.LastIndexOf_Word_NotFound(Options: (en-US; IgnoreCase; True)...,1.00,2.65,1.14,
System.Globalization.Tests.StringSearch.IsPrefix_FirstHalf(Options: (en-US; IgnoreNonSpace; False)),1.00,126.46,12.89,
System.Globalization.Tests.StringSearch.IsPrefix_DifferentFirstChar(Options: (en-US; IgnoreNonSpace;...,1.00,39.79,3.31,
System.Globalization.Tests.StringSearch.IsSuffix_SecondHalf(Options: (en-US; IgnoreNonSpace; False)),1.00,125.89,12.68,
System.Globalization.Tests.StringSearch.IsSuffix_DifferentLastChar(Options: (en-US; IgnoreNonSpace; ...,1.00,34.56,2.99,
System.Globalization.Tests.StringSearch.IndexOf_Word_NotFound(Options: (en-US; IgnoreNonSpace; False...,1.00,58.92,5.99,
System.Globalization.Tests.StringSearch.LastIndexOf_Word_NotFound(Options: (en-US; IgnoreNonSpace; F...,1.00,59.25,6.09,
System.Globalization.Tests.StringSearch.IsPrefix_FirstHalf(Options: (en-US; IgnoreSymbols; False)),1.00,1.07,1.01,
System.Globalization.Tests.StringSearch.IsPrefix_DifferentFirstChar(Options: (en-US; IgnoreSymbols; ...,1.00,1.05,1.02,
System.Globalization.Tests.StringSearch.IsSuffix_SecondHalf(Options: (en-US; IgnoreSymbols; False)),1.00,1.09,1.01,
System.Globalization.Tests.StringSearch.IsSuffix_DifferentLastChar(Options: (en-US; IgnoreSymbols; F...,1.00,1.04,1.01,
System.Globalization.Tests.StringSearch.IndexOf_Word_NotFound(Options: (en-US; IgnoreSymbols; False)...,1.00,1.22,1.01,
System.Globalization.Tests.StringSearch.LastIndexOf_Word_NotFound(Options: (en-US; IgnoreSymbols; Fa...,1.00,1.06,1.02,
System.Globalization.Tests.StringSearch.IsPrefix_FirstHalf(Options: (en-US; None; False)),1.00,125.96,12.97,
System.Globalization.Tests.StringSearch.IsPrefix_DifferentFirstChar(Options: (en-US; None; False)),1.00,40.27,3.34,
System.Globalization.Tests.StringSearch.IsSuffix_SecondHalf(Options: (en-US; None; False)),1.00,130.48,12.69,
System.Globalization.Tests.StringSearch.IsSuffix_DifferentLastChar(Options: (en-US; None; False)),1.00,34.65,2.97,
System.Globalization.Tests.StringSearch.IndexOf_Word_NotFound(Options: (en-US; None; False)),1.00,58.42,6.05,
System.Globalization.Tests.StringSearch.LastIndexOf_Word_NotFound(Options: (en-US; None; False)),1.00,59.07,6.10,
System.Globalization.Tests.StringSearch.IsPrefix_FirstHalf(Options: (en-US; None; True)),1.00,1.23,1.05,
System.Globalization.Tests.StringSearch.IsPrefix_DifferentFirstChar(Options: (en-US; None; True)),1.00,1.87,1.19,
System.Globalization.Tests.StringSearch.IsSuffix_SecondHalf(Options: (en-US; None; True)),1.00,1.15,1.05,
System.Globalization.Tests.StringSearch.IsSuffix_DifferentLastChar(Options: (en-US; None; True)),1.00,1.59,1.11,
System.Globalization.Tests.StringSearch.IndexOf_Word_NotFound(Options: (en-US; None; True)),1.00,1.30,1.03,
System.Globalization.Tests.StringSearch.LastIndexOf_Word_NotFound(Options: (en-US; None; True)),1.00,2.46,1.14,
System.Globalization.Tests.StringSearch.IsPrefix_FirstHalf(Options: (en-US; Ordinal; False)),1.00,176.68,2.76,
System.Globalization.Tests.StringSearch.IsPrefix_DifferentFirstChar(Options: (en-US; Ordinal; False)...,1.00,14.78,1.38,
System.Globalization.Tests.StringSearch.IsSuffix_SecondHalf(Options: (en-US; Ordinal; False)),1.00,169.56,3.36,
System.Globalization.Tests.StringSearch.IsSuffix_DifferentLastChar(Options: (en-US; Ordinal; False)),1.00,240.69,3.89,
System.Globalization.Tests.StringSearch.IndexOf_Word_NotFound(Options: (en-US; Ordinal; False)),1.00,674.89,3.01,
System.Globalization.Tests.StringSearch.LastIndexOf_Word_NotFound(Options: (en-US; Ordinal; False)),1.00,20.07,1.78,
System.Globalization.Tests.StringSearch.IsPrefix_FirstHalf(Options: (en-US; OrdinalIgnoreCase; False...,1.00,36.93,1.76,
System.Globalization.Tests.StringSearch.IsPrefix_DifferentFirstChar(Options: (en-US; OrdinalIgnoreCa...,1.00,18.59,1.66,
System.Globalization.Tests.StringSearch.IsSuffix_SecondHalf(Options: (en-US; OrdinalIgnoreCase; Fals...,1.00,140.25,2.07,
System.Globalization.Tests.StringSearch.IsSuffix_DifferentLastChar(Options: (en-US; OrdinalIgnoreCas...,1.00,152.72,2.19,
System.Globalization.Tests.StringSearch.IndexOf_Word_NotFound(Options: (en-US; OrdinalIgnoreCase; Fa...,1.00,1.27,1.10,
System.Globalization.Tests.StringSearch.LastIndexOf_Word_NotFound(Options: (en-US; OrdinalIgnoreCase...,1.00,1.28,1.11,
System.Globalization.Tests.StringSearch.IsPrefix_FirstHalf(Options: (pl-PL; None; False)),1.00,1.14,1.05,
System.Globalization.Tests.StringSearch.IsPrefix_DifferentFirstChar(Options: (pl-PL; None; False)),1.00,1.84,1.21,
System.Globalization.Tests.StringSearch.IsSuffix_SecondHalf(Options: (pl-PL; None; False)),1.00,1.10,1.04,
System.Globalization.Tests.StringSearch.IsSuffix_DifferentLastChar(Options: (pl-PL; None; False)),1.00,1.57,1.18,
System.Globalization.Tests.StringSearch.IndexOf_Word_NotFound(Options: (pl-PL; None; False)),1.00,1.19,1.02,
System.Globalization.Tests.StringSearch.LastIndexOf_Word_NotFound(Options: (pl-PL; None; False)),1.00,1.05,1.01,
System.Collections.IterateForEachNonGeneric<String>.ArrayList(Size: 512),1.00,12.00,0.89,
System.Collections.IterateForEachNonGeneric<String>.Hashtable(Size: 512),1.00,8.42,1.01,
System.Collections.IterateForEachNonGeneric<String>.Queue(Size: 512),1.00,11.19,1.02,
System.Collections.IterateForEachNonGeneric<String>.Stack(Size: 512),1.00,11.92,0.96,
System.Collections.IterateForEachNonGeneric<String>.SortedList(Size: 512),1.00,10.25,1.02,
SeekUnroll.Test(boxedIndex: 1),1.00,267.79,3.61,
SeekUnroll.Test(boxedIndex: 3),1.00,267.73,3.62,
SeekUnroll.Test(boxedIndex: 11),1.00,357.27,5.39,
SeekUnroll.Test(boxedIndex: 19),1.00,186.00,3.08,
SeekUnroll.Test(boxedIndex: 27),1.00,179.60,2.97,
System.Net.Primitives.Tests.CredentialCacheTests.ForEach(uriCount: 0; hostPortCount: 0),1.00,35.60,1.32,
System.Net.Primitives.Tests.CredentialCacheTests.ForEach(uriCount: 0; hostPortCount: 10),1.00,19.35,1.12,
System.Net.Primitives.Tests.CredentialCacheTests.ForEach(uriCount: 10; hostPortCount: 0),1.00,18.06,1.30,
System.Net.Primitives.Tests.CredentialCacheTests.ForEach(uriCount: 10; hostPortCount: 10),1.00,18.12,1.27,
System.Net.Primitives.Tests.CredentialCacheTests.GetCredential_Uri(uriString: "http://name5"; uriCou...,1.00,35.32,1.59,
System.Net.Primitives.Tests.CredentialCacheTests.GetCredential_Uri(uriString: "http://notfound"; uri...,1.00,38.44,1.50,
System.Net.Primitives.Tests.CredentialCacheTests.GetCredential_Uri(uriString: "http://notfound"; uri...,1.00,32.79,1.64,
System.Net.Primitives.Tests.CredentialCacheTests.GetCredential_HostPort(host: "name5"; hostPortCount...,1.00,44.57,1.87,
System.Net.Primitives.Tests.CredentialCacheTests.GetCredential_HostPort(host: "notfound"; hostPortCo...,1.00,39.57,1.64,
System.Net.Primitives.Tests.CredentialCacheTests.GetCredential_HostPort(host: "notfound"; hostPortCo...,1.00,43.48,1.87,
Benchstone.BenchI.QuickSort.Test,1.00,5.55,1.21,
MicroBenchmarks.Serializers.Xml_FromStream<SimpleStructWithProperties>.XmlSerializer_,1.00,48.48,2.93,
MicroBenchmarks.Serializers.Xml_FromStream<SimpleStructWithProperties>.DataContractSerializer_,1.00,32.48,1.57,
Burgers.Test0,1.00,182.19,11.67,
Burgers.Test1,1.00,240.41,13.80,
Burgers.Test2,1.00,18.22,1.86,
Burgers.Test3,1.00,2550.70,4.80,
System.Collections.CtorFromCollectionNonGeneric<String>.ArrayList(Size: 512),1.00,2.73,1.62,
System.Collections.CtorFromCollectionNonGeneric<String>.Hashtable(Size: 512),1.00,20.54,2.03,
System.Collections.CtorFromCollectionNonGeneric<String>.Queue(Size: 512),1.00,46.86,12.16,
System.Collections.CtorFromCollectionNonGeneric<String>.Stack(Size: 512),1.00,55.15,14.35,
System.Collections.CtorFromCollectionNonGeneric<String>.SortedList(Size: 512),1.00,13.33,3.36,
System.Text.Json.Tests.Perf_Base64.WriteByteArrayAsBase64_NoEscaping(NumberOfBytes: 100),1.00,202.81,3.08,
System.Text.Json.Tests.Perf_Base64.WriteByteArrayAsBase64_HeavyEscaping(NumberOfBytes: 100),1.00,198.93,3.08,
System.Text.Json.Tests.Perf_Base64.WriteByteArrayAsBase64_NoEscaping(NumberOfBytes: 1000),1.00,723.78,7.66,
System.Text.Json.Tests.Perf_Base64.WriteByteArrayAsBase64_HeavyEscaping(NumberOfBytes: 1000),1.00,712.97,7.88,
MicroBenchmarks.Serializers.Xml_ToStream<CollectionsOfPrimitives>.XmlSerializer_,1.00,51.52,2.74,
MicroBenchmarks.Serializers.Xml_ToStream<CollectionsOfPrimitives>.DataContractSerializer_,1.00,34.70,2.26,
System.Collections.ContainsFalse<String>.Array(Size: 512),1.00,23.99,2.98,
System.Collections.ContainsFalse<String>.Span(Size: 512),1.00,45.15,1.50,
System.Collections.ContainsFalse<String>.List(Size: 512),1.00,17.35,2.22,
System.Collections.ContainsFalse<String>.ICollection(Size: 512),1.00,22.27,2.55,
System.Collections.ContainsFalse<String>.LinkedList(Size: 512),1.00,12.15,1.46,
System.Collections.ContainsFalse<String>.HashSet(Size: 512),1.00,31.68,1.73,
System.Collections.ContainsFalse<String>.Queue(Size: 512),1.00,20.50,2.49,
System.Collections.ContainsFalse<String>.Stack(Size: 512),1.00,17.54,2.24,
System.Collections.ContainsFalse<String>.SortedSet(Size: 512),1.00,10.62,2.84,
System.Collections.ContainsFalse<String>.ImmutableArray(Size: 512),1.00,20.00,2.51,
System.Collections.ContainsFalse<String>.ImmutableHashSet(Size: 512),1.00,15.29,1.43,
System.Collections.ContainsFalse<String>.ImmutableList(Size: 512),1.00,8.50,1.64,
System.Collections.ContainsFalse<String>.ImmutableSortedSet(Size: 512),1.00,10.66,2.88,
BenchmarksGame.BinaryTrees_5.RunBench,1.00,3.71,1.33,
SIMD.RayTracerBench.Bench,1.00,37.53,2.94,
System.Text.Json.Serialization.Tests.ReadJson<Hashtable>.DeserializeFromString,1.00,66.78,2.44,
System.Text.Json.Serialization.Tests.ReadJson<Hashtable>.DeserializeFromUtf8Bytes,1.00,62.71,2.14,
System.Text.Json.Serialization.Tests.ReadJson<Hashtable>.DeserializeFromStream,1.00,62.13,2.06,
System.Collections.Concurrent.AddRemoveFromDifferentThreads<Int32>.ConcurrentBag(Size: 2000000),1.00,7.13,1.03,
System.Collections.Concurrent.AddRemoveFromDifferentThreads<Int32>.ConcurrentStack(Size: 2000000),1.00,7.95,0.92,
System.Collections.Concurrent.AddRemoveFromDifferentThreads<Int32>.ConcurrentQueue(Size: 2000000),1.00,10.45,1.05,
System.IO.Compression.Brotli.Compress_WithState(level: Optimal; file: "TestDocument.pdf"),1.00,1.00,1.00,
System.IO.Compression.Brotli.Decompress_WithState(level: Optimal; file: "TestDocument.pdf"),1.00,1.01,1.00,
System.IO.Compression.Brotli.Compress_WithoutState(level: Optimal; file: "TestDocument.pdf"),1.00,1.00,1.00,
System.IO.Compression.Brotli.Decompress_WithoutState(level: Optimal; file: "TestDocument.pdf"),1.00,1.00,1.00,
System.IO.Compression.Brotli.Compress(level: Optimal; file: "TestDocument.pdf"),1.00,3.57,2.76,
System.IO.Compression.Brotli.Decompress(level: Optimal; file: "TestDocument.pdf"),1.00,1.07,1.04,
System.IO.Compression.Brotli.Compress_WithState(level: Optimal; file: "alice29.txt"),1.00,1.00,1.00,
System.IO.Compression.Brotli.Decompress_WithState(level: Optimal; file: "alice29.txt"),1.00,1.01,1.00,
System.IO.Compression.Brotli.Compress_WithoutState(level: Optimal; file: "alice29.txt"),1.00,1.00,1.00,
System.IO.Compression.Brotli.Decompress_WithoutState(level: Optimal; file: "alice29.txt"),1.00,1.00,1.02,
System.IO.Compression.Brotli.Compress(level: Optimal; file: "alice29.txt"),1.00,2.94,2.31,
System.IO.Compression.Brotli.Decompress(level: Optimal; file: "alice29.txt"),1.00,1.11,1.08,
System.IO.Compression.Brotli.Compress_WithState(level: Optimal; file: "sum"),1.00,1.00,1.00,
System.IO.Compression.Brotli.Decompress_WithState(level: Optimal; file: "sum"),1.00,1.04,1.01,
System.IO.Compression.Brotli.Compress_WithoutState(level: Optimal; file: "sum"),1.00,1.00,1.00,
System.IO.Compression.Brotli.Decompress_WithoutState(level: Optimal; file: "sum"),1.00,1.02,1.01,
System.IO.Compression.Brotli.Compress(level: Optimal; file: "sum"),1.00,7.18,5.60,
System.IO.Compression.Brotli.Decompress(level: Optimal; file: "sum"),1.00,1.28,1.20,
System.IO.Compression.Brotli.Compress_WithState(level: Fastest; file: "TestDocument.pdf"),1.00,1.04,1.00,
System.IO.Compression.Brotli.Decompress_WithState(level: Fastest; file: "TestDocument.pdf"),1.00,1.02,1.00,
System.IO.Compression.Brotli.Compress_WithoutState(level: Fastest; file: "TestDocument.pdf"),1.00,1.01,1.00,
System.IO.Compression.Brotli.Decompress_WithoutState(level: Fastest; file: "TestDocument.pdf"),1.00,1.00,1.01,
System.IO.Compression.Brotli.Compress(level: Fastest; file: "TestDocument.pdf"),1.00,1.14,1.09,
System.IO.Compression.Brotli.Decompress(level: Fastest; file: "TestDocument.pdf"),1.00,1.16,1.11,
System.IO.Compression.Brotli.Compress_WithState(level: Fastest; file: "alice29.txt"),1.00,1.02,1.00,
System.IO.Compression.Brotli.Decompress_WithState(level: Fastest; file: "alice29.txt"),1.00,1.01,1.01,
System.IO.Compression.Brotli.Compress_WithoutState(level: Fastest; file: "alice29.txt"),1.00,1.01,1.00,
System.IO.Compression.Brotli.Decompress_WithoutState(level: Fastest; file: "alice29.txt"),1.00,1.00,1.01,
System.IO.Compression.Brotli.Compress(level: Fastest; file: "alice29.txt"),1.00,1.05,1.04,
System.IO.Compression.Brotli.Decompress(level: Fastest; file: "alice29.txt"),1.00,1.10,1.09,
System.IO.Compression.Brotli.Compress_WithState(level: Fastest; file: "sum"),1.00,1.12,1.00,
System.IO.Compression.Brotli.Decompress_WithState(level: Fastest; file: "sum"),1.00,1.04,1.02,
System.IO.Compression.Brotli.Compress_WithoutState(level: Fastest; file: "sum"),1.00,1.02,1.00,
System.IO.Compression.Brotli.Decompress_WithoutState(level: Fastest; file: "sum"),1.00,1.01,1.00,
System.IO.Compression.Brotli.Compress(level: Fastest; file: "sum"),1.00,1.23,1.15,
System.IO.Compression.Brotli.Decompress(level: Fastest; file: "sum"),1.00,1.34,1.24,
MicroBenchmarks.Serializers.Json_FromString<IndexViewModel>.Jil_,1.00,26.51,1.63,
MicroBenchmarks.Serializers.Json_FromString<IndexViewModel>.JsonNet_,1.00,35.89,1.56,
MicroBenchmarks.Serializers.Json_FromString<IndexViewModel>.Utf8Json_,1.00,52.99,4.01,
System.Tests.Perf_DateTimeOffset.GetNow,1.00,23.42,2.57,
System.Tests.Perf_DateTimeOffset.GetUtcNow,1.00,11.62,3.60,
System.Tests.Perf_DateTimeOffset.op_Subtraction,1.00,45.40,3.47,
System.Tests.Perf_DateTimeOffset.ToString(format: null),1.00,51.63,1.84,
System.Tests.Perf_DateTimeOffset.ToString(value: 12/30/2017 3:45:22 AM -08:00),1.00,51.23,1.94,
System.Tests.Perf_DateTimeOffset.Parse(value: "12/30/2017 3:45:22 AM -08:00"),1.00,53.05,2.37,
System.Tests.Perf_DateTimeOffset.TryParse(value: "12/30/2017 3:45:22 AM -08:00"),1.00,52.26,2.31,
System.Tests.Perf_DateTimeOffset.ToString(format: "G"),1.00,30.94,2.15,
System.Tests.Perf_DateTimeOffset.ToString(format: "o"),1.00,44.41,4.47,
System.Tests.Perf_DateTimeOffset.ToString(format: "r"),1.00,19.86,2.35,
System.Tests.Perf_DateTimeOffset.ToString(format: "s"),1.00,29.11,2.10,
System.Collections.Concurrent.Count<String>.Dictionary(Size: 512),1.00,20.92,2.49,
System.Collections.Concurrent.Count<String>.Queue(Size: 512),1.00,12.06,1.30,
System.Collections.Concurrent.Count<String>.Queue_EnqueueCountDequeue(Size: 512),1.00,15.66,1.37,
System.Collections.Concurrent.Count<String>.Stack(Size: 512),1.00,4.55,1.01,
System.Collections.Concurrent.Count<String>.Bag(Size: 512),1.00,20.24,2.86,
GuardedDevirtualization.TwoClassInterface.Call(testInput: pB = 0.00),SMALL,SMALL,SMALL,
GuardedDevirtualization.TwoClassInterface.Call(testInput: pB = 0.10),SMALL,SMALL,SMALL,
GuardedDevirtualization.TwoClassInterface.Call(testInput: pB = 0.20),1.00,6.33,0.81,
GuardedDevirtualization.TwoClassInterface.Call(testInput: pB = 0.30),1.00,5.11,0.84,
GuardedDevirtualization.TwoClassInterface.Call(testInput: pB = 0.40),1.00,4.61,0.84,
GuardedDevirtualization.TwoClassInterface.Call(testInput: pB = 0.50),1.00,4.34,0.83,
GuardedDevirtualization.TwoClassInterface.Call(testInput: pB = 0.60),1.00,4.81,0.88,
GuardedDevirtualization.TwoClassInterface.Call(testInput: pB = 0.70),1.00,5.51,0.84,
GuardedDevirtualization.TwoClassInterface.Call(testInput: pB = 0.80),SMALL,SMALL,SMALL,
GuardedDevirtualization.TwoClassInterface.Call(testInput: pB = 0.90),SMALL,SMALL,SMALL,
GuardedDevirtualization.TwoClassInterface.Call(testInput: pB = 1.00),SMALL,SMALL,SMALL,
Benchstone.BenchF.Bisect.Test,1.00,15.72,2.13,
System.Threading.Tests.Perf_Timer.ShortScheduleAndDispose,1.00,12.16,2.85,
System.Threading.Tests.Perf_Timer.LongScheduleAndDispose,1.00,12.28,2.81,
System.Threading.Tests.Perf_Timer.ScheduleManyThenDisposeMany,1.00,5.06,1.98,
System.Threading.Tests.Perf_Timer.SynchronousContention,1.00,7.95,2.47,
System.Threading.Tests.Perf_Timer.AsynchronousContention,1.00,9.82,2.96,
System.Threading.Tests.Perf_Timer.ShortScheduleAndDisposeWithFiringTimers,1.00,20.89,7.94,
PerfLabTests.StackWalk.Walk,1.00,1.77,1.22,
System.Tests.Perf_Boolean.Parse(value: "False"),1.00,15.11,1.15,
System.Tests.Perf_Boolean.TryParse(value: "False"),1.00,18.66,1.62,
System.Tests.Perf_Boolean.ToString(value: False),SMALL,SMALL,SMALL,
System.Tests.Perf_Boolean.Parse(value: "True"),1.00,13.80,1.18,
System.Tests.Perf_Boolean.TryParse(value: "True"),1.00,18.63,1.76,
System.Tests.Perf_Boolean.ToString(value: True),SMALL,SMALL,SMALL,
System.Net.Tests.Perf_WebUtility.Decode_DecodingRequired,1.00,19.25,1.71,
System.Net.Tests.Perf_WebUtility.Decode_NoDecodingRequired,1.00,10.99,1.02,
System.Net.Tests.Perf_WebUtility.HtmlDecode_Entities,1.00,44.84,3.05,
