Benchmark,dotnetcore_nollvm,mono_aa87d3db6d981426ecca6e2637238c8a211689a8_nollvm
GuardedDevirtualization.TwoClassVirtual.Call(testInput: pB = 0.00),1.00,1.00,
GuardedDevirtualization.TwoClassVirtual.Call(testInput: pB = 0.10),1.00,1.00,
GuardedDevirtualization.TwoClassVirtual.Call(testInput: pB = 0.20),1.00,1.00,
GuardedDevirtualization.TwoClassVirtual.Call(testInput: pB = 0.30),1.00,1.00,
GuardedDevirtualization.TwoClassVirtual.Call(testInput: pB = 0.40),1.00,1.00,
GuardedDevirtualization.TwoClassVirtual.Call(testInput: pB = 0.50),1.00,1.00,
GuardedDevirtualization.TwoClassVirtual.Call(testInput: pB = 0.60),1.00,1.00,
GuardedDevirtualization.TwoClassVirtual.Call(testInput: pB = 0.70),1.00,1.00,
GuardedDevirtualization.TwoClassVirtual.Call(testInput: pB = 0.80),1.00,1.00,
GuardedDevirtualization.TwoClassVirtual.Call(testInput: pB = 0.90),1.00,1.00,
GuardedDevirtualization.TwoClassVirtual.Call(testInput: pB = 1.00),1.00,1.00,
MicroBenchmarks.Serializers.Json_ToString<Location>.Jil_,1.00,1.00,
MicroBenchmarks.Serializers.Json_ToString<Location>.JsonNet_,1.00,1.00,
MicroBenchmarks.Serializers.Json_ToString<Location>.Utf8Json_,1.00,1.00,
Benchstone.BenchI.Puzzle.Test,1.00,1.00,
PerfLabTests.CastingPerf.ObjFooIsObj,1.00,1.00,
PerfLabTests.CastingPerf.ObjFooIsObj2,1.00,1.00,
PerfLabTests.CastingPerf.ObjObjIsFoo,1.00,1.00,
PerfLabTests.CastingPerf.FooObjIsFoo,1.00,1.00,
PerfLabTests.CastingPerf.FooObjIsFoo2,1.00,1.00,
PerfLabTests.CastingPerf.FooObjIsNull,1.00,1.00,
PerfLabTests.CastingPerf.FooObjIsDescendant,1.00,1.00,
PerfLabTests.CastingPerf.IFooFooIsIFoo,1.00,1.00,
PerfLabTests.CastingPerf.IFooObjIsIFoo,1.00,1.00,
PerfLabTests.CastingPerf.IFooObjIsIFooInterAlia,1.00,1.00,
PerfLabTests.CastingPerf.IFooObjIsDescendantOfIFoo,1.00,1.00,
PerfLabTests.CastingPerf.ObjInt,1.00,1.00,
PerfLabTests.CastingPerf.IntObj,1.00,1.00,
PerfLabTests.CastingPerf.ObjScalarValueType,1.00,1.00,
PerfLabTests.CastingPerf.ScalarValueTypeObj,1.00,1.00,
PerfLabTests.CastingPerf.ObjObjrefValueType,1.00,1.00,
PerfLabTests.CastingPerf.ObjrefValueTypeObj,1.00,1.00,
PerfLabTests.CastingPerf.FooObjCastIfIsa,1.00,1.00,
PerfLabTests.CastingPerf.CheckObjIsInterfaceYes,1.00,1.00,
PerfLabTests.CastingPerf.CheckObjIsInterfaceNo,1.00,1.00,
PerfLabTests.CastingPerf.CheckIsInstAnyIsInterfaceYes,1.00,1.00,
PerfLabTests.CastingPerf.CheckIsInstAnyIsInterfaceNo,1.00,1.00,
PerfLabTests.CastingPerf.CheckArrayIsInterfaceYes,1.00,1.00,
PerfLabTests.CastingPerf.CheckArrayIsInterfaceNo,1.00,1.00,
PerfLabTests.CastingPerf.CheckArrayIsNonvariantGenericInterface,1.00,1.00,
PerfLabTests.CastingPerf.CheckArrayIsNonvariantGenericInterfaceNo,1.00,1.00,
PerfLabTests.CastingPerf.CheckArrayIsArrayByVariance,1.00,1.00,
PerfLabTests.CastingPerf.CheckListIsVariantGenericInterface,1.00,1.00,
PerfLabTests.CastingPerf.CheckArrayIsVariantGenericInterfaceNo,1.00,1.00,
PerfLabTests.CastingPerf.AssignArrayElementByVariance,1.00,1.00,
PerfLabTests.CastingPerf.CheckArrayIsVariantGenericInterfaceReflection,1.00,1.00,
LinqBenchmarks.Where00LinqQueryX,1.00,1.00,
LinqBenchmarks.Where00LinqMethodX,1.00,1.00,
LinqBenchmarks.Where00ForX,1.00,1.00,
LinqBenchmarks.Where01LinqQueryX,1.00,1.00,
LinqBenchmarks.Where01LinqMethodX,1.00,1.00,
LinqBenchmarks.Where01LinqMethodNestedX,1.00,1.00,
LinqBenchmarks.Where01ForX,1.00,1.00,
LinqBenchmarks.Count00LinqMethodX,1.00,1.00,
LinqBenchmarks.Count00ForX,1.00,1.00,
LinqBenchmarks.Order00LinqQueryX,1.00,1.00,
LinqBenchmarks.Order00LinqMethodX,1.00,1.00,
LinqBenchmarks.Order00ManualX,1.00,1.00,
Benchstone.BenchF.InvMt.Test,1.00,1.00,
Benchstone.BenchF.InProd.Test,1.00,1.00,
MicroBenchmarks.Serializers.Json_FromString<CollectionsOfPrimitives>.Jil_,1.00,1.00,
MicroBenchmarks.Serializers.Json_FromString<CollectionsOfPrimitives>.JsonNet_,1.00,1.00,
MicroBenchmarks.Serializers.Json_FromString<CollectionsOfPrimitives>.Utf8Json_,1.00,1.00,
MicroBenchmarks.Serializers.Json_FromStream<CollectionsOfPrimitives>.Jil_,1.00,1.00,
MicroBenchmarks.Serializers.Json_FromStream<CollectionsOfPrimitives>.JsonNet_,1.00,1.00,
MicroBenchmarks.Serializers.Json_FromStream<CollectionsOfPrimitives>.Utf8Json_,1.00,1.00,
MicroBenchmarks.Serializers.Json_FromStream<CollectionsOfPrimitives>.DataContractJsonSerializer_,1.00,1.00,
MicroBenchmarks.Serializers.Binary_FromStream<MyEventsListerViewModel>.BinaryFormatter_,1.00,1.00,
MicroBenchmarks.Serializers.Binary_FromStream<MyEventsListerViewModel>.ProtoBuffNet,1.00,1.00,
MicroBenchmarks.Serializers.Binary_FromStream<MyEventsListerViewModel>.MessagePack_,1.00,1.00,
BenchmarksGame.BinaryTrees_2.RunBench,1.00,1.00,
Benchstone.BenchF.DMath.Test,1.00,1.00,
MicroBenchmarks.Serializers.Json_ToString<CollectionsOfPrimitives>.Jil_,1.00,1.00,
MicroBenchmarks.Serializers.Json_ToString<CollectionsOfPrimitives>.JsonNet_,1.00,1.00,
MicroBenchmarks.Serializers.Json_ToString<CollectionsOfPrimitives>.Utf8Json_,1.00,1.00,
MicroBenchmarks.Serializers.Json_ToStream<CollectionsOfPrimitives>.Jil_,1.00,1.00,
MicroBenchmarks.Serializers.Json_ToStream<CollectionsOfPrimitives>.JsonNet_,1.00,1.00,
MicroBenchmarks.Serializers.Json_ToStream<CollectionsOfPrimitives>.Utf8Json_,1.00,1.00,
MicroBenchmarks.Serializers.Json_ToStream<CollectionsOfPrimitives>.DataContractJsonSerializer_,1.00,1.00,
Benchstone.BenchF.BenchMrk.Test,1.00,1.00,
Benchstone.BenchI.Array1.Test,1.00,1.00,
BenchmarksGame.Fasta_2.RunBench,1.00,1.00,
BenchmarksGame.Mandelbrot_2.Bench(width: 4000; checksum: "C7-E6-66-43-66-73-F8-A8-D3-B4-D7-97-2F-FC-...,1.00,1.00,
Inlining.InlineGCStruct.WithFormat,1.00,1.00,
Inlining.InlineGCStruct.WithoutFormat,1.00,1.00,
Benchstone.BenchI.TreeInsert.Test,1.00,1.00,
BenchmarksGame.KNucleotide_1.RunBench,1.00,1.00,
Benchstone.BenchI.BubbleSort2.Test,1.00,1.00,
MicroBenchmarks.Serializers.Json_FromString<Location>.Jil_,1.00,1.00,
MicroBenchmarks.Serializers.Json_FromString<Location>.JsonNet_,1.00,1.00,
MicroBenchmarks.Serializers.Json_FromString<Location>.Utf8Json_,1.00,1.00,
MicroBenchmarks.Serializers.Xml_FromStream<XmlElement>.XmlSerializer_,1.00,1.00,
MicroBenchmarks.Serializers.Xml_FromStream<XmlElement>.DataContractSerializer_,1.00,1.00,
PerfLabTests.GetMember.GetMethod1,1.00,32.82,
PerfLabTests.GetMember.GetMethod2,1.00,31.88,
PerfLabTests.GetMember.GetMethod3,1.00,33.72,
PerfLabTests.GetMember.GetMethod4,1.00,32.21,
PerfLabTests.GetMember.GetMethod5,1.00,32.81,
PerfLabTests.GetMember.GetMethod10,1.00,33.26,
PerfLabTests.GetMember.GetMethod12,1.00,31.11,
PerfLabTests.GetMember.GetMethod15,1.00,31.94,
PerfLabTests.GetMember.GetMethod20,1.00,32.84,
Benchstone.BenchF.NewtE.Test,1.00,1.00,
SciMark2.kernel.benchFFT,1.00,1.00,
SciMark2.kernel.benchSOR,1.00,1.00,
SciMark2.kernel.benchMonteCarlo,1.00,1.00,
SciMark2.kernel.benchSparseMult,1.00,1.00,
SciMark2.kernel.benchmarkLU,1.00,1.00,
Benchstone.BenchI.LogicArray.Test,1.00,1.00,
BenchmarksGame.ReverseComplement_1.RunBench,1.00,1.00,


ubuntu 18.04
Intel Xeon Gold 5120 CPU 2.20GHz
