Benchmark,dotnetcore_nollvm,mono_aa87d3db6d981426ecca6e2637238c8a211689a8_nollvm
MicroBenchmarks.Serializers.Binary_ToStream<Location>.MessagePack_,1.00,1.00,
MicroBenchmarks.Serializers.Xml_FromStream<LoginViewModel>.XmlSerializer_,1.00,1.00,
MicroBenchmarks.Serializers.Xml_FromStream<LoginViewModel>.DataContractSerializer_,1.00,1.00,
MicroBenchmarks.Serializers.Xml_ToStream<LoginViewModel>.XmlSerializer_,1.00,1.00,
MicroBenchmarks.Serializers.Xml_ToStream<LoginViewModel>.DataContractSerializer_,1.00,1.00,
BenchmarksGame.KNucleotide_9.RunBench,1.00,1.00,
Benchstone.BenchI.BenchE.Test,1.00,1.00,
Inlining.NoThrowInline.Test,1.00,1.00,
BenchmarksGame.Fasta_1.RunBench,1.00,1.00,
Benchstone.BenchI.Array2.Test,1.00,1.00,
BenchmarksGame.FannkuchRedux_5.RunBench(n: 10; expectedSum: 38),1.00,1.00,
MicroBenchmarks.Serializers.Binary_FromStream<LoginViewModel>.BinaryFormatter_,1.00,1.00,
MicroBenchmarks.Serializers.Binary_FromStream<LoginViewModel>.ProtoBuffNet,1.00,1.00,
MicroBenchmarks.Serializers.Binary_FromStream<LoginViewModel>.MessagePack_,1.00,1.00,
MicroBenchmarks.Serializers.Json_FromStream<MyEventsListerViewModel>.Jil_,1.00,1.00,
MicroBenchmarks.Serializers.Json_FromStream<MyEventsListerViewModel>.JsonNet_,1.00,1.00,
MicroBenchmarks.Serializers.Json_FromStream<MyEventsListerViewModel>.Utf8Json_,1.00,1.00,
MicroBenchmarks.Serializers.Json_FromStream<MyEventsListerViewModel>.DataContractJsonSerializer_,1.00,1.00,
MicroBenchmarks.Serializers.Binary_FromStream<CollectionsOfPrimitives>.BinaryFormatter_,1.00,1.00,
MicroBenchmarks.Serializers.Binary_FromStream<CollectionsOfPrimitives>.ProtoBuffNet,1.00,1.00,
MicroBenchmarks.Serializers.Binary_FromStream<CollectionsOfPrimitives>.MessagePack_,1.00,1.00,
MicroBenchmarks.Serializers.Json_FromString<MyEventsListerViewModel>.Jil_,1.00,1.00,
MicroBenchmarks.Serializers.Json_FromString<MyEventsListerViewModel>.JsonNet_,1.00,1.00,
MicroBenchmarks.Serializers.Json_FromString<MyEventsListerViewModel>.Utf8Json_,1.00,1.00,
Lowering.InstructionReplacement.TESTtoBT,1.00,1.00,
MicroBenchmarks.Serializers.Json_ToStream<MyEventsListerViewModel>.Jil_,1.00,1.00,
MicroBenchmarks.Serializers.Json_ToStream<MyEventsListerViewModel>.JsonNet_,1.00,1.00,
MicroBenchmarks.Serializers.Json_ToStream<MyEventsListerViewModel>.Utf8Json_,1.00,1.00,
MicroBenchmarks.Serializers.Json_ToStream<MyEventsListerViewModel>.DataContractJsonSerializer_,1.00,1.00,
